Calculating solvability percentage...

[Lower Bound, Upper Bound] | (Solvable/Unsolvable/Intractable) | Current seed
[46.746, 57.409] | (209/192/4) | 404
[46.625, 57.275] | (209/193/4) | 405
[46.750, 57.384] | (210/193/4) | 406
[46.630, 57.251] | (210/194/4) | 407
[46.754, 57.360] | (211/194/4) | 408
[46.877, 57.469] | (212/194/4) | 409
[47.000, 57.576] | (213/194/4) | 410
[47.122, 57.683] | (214/194/4) | 411
[47.243, 57.790] | (215/194/4) | 412
[47.364, 57.896] | (216/194/4) | 413
[47.485, 58.002] | (217/194/4) | 414
[47.604, 58.107] | (218/194/4) | 415
[47.724, 58.211] | (219/194/4) | 416
[47.843, 58.315] | (220/194/4) | 417
[47.723, 58.184] | (220/195/4) | 418
[47.604, 58.053] | (220/196/4) | 419
[47.486, 57.923] | (220/197/4) | 420
[47.605, 58.026] | (221/197/4) | 421
[47.487, 57.897] | (221/198/4) | 422
[47.370, 57.768] | (221/199/4) | 423
[47.488, 57.871] | (222/199/4) | 424
[47.605, 57.974] | (223/199/4) | 425
[47.721, 58.076] | (224/199/4) | 426
[47.605, 57.948] | (224/200/4) | 427
[47.721, 58.050] | (225/200/4) | 428
[47.605, 57.922] | (225/201/4) | 429
[47.490, 57.795] | (225/202/4) | 430
[47.375, 57.669] | (225/203/4) | 431
[47.261, 57.543] | (225/204/4) | 432
[47.376, 57.644] | (226/204/4) | 433
[47.262, 57.519] | (226/205/4) | 434
[47.377, 57.620] | (227/205/4) | 435
[47.492, 57.721] | (228/205/4) | 436
[47.606, 57.821] | (229/205/4) | 437
[47.493, 57.697] | (229/206/4) | 438
[47.606, 57.797] | (230/206/4) | 439
[47.719, 57.896] | (231/206/4) | 440
[47.832, 57.995] | (232/206/4) | 441
[47.944, 58.094] | (233/206/4) | 442
[47.831, 57.970] | (233/207/4) | 443
[47.943, 58.068] | (234/207/4) | 444
[47.830, 57.945] | (234/208/4) | 445
[47.719, 57.822] | (234/209/4) | 446
[47.830, 57.920] | (235/209/4) | 447
[47.940, 58.017] | (236/209/4) | 448
[48.050, 58.114] | (237/209/4) | 449
[47.939, 57.992] | (237/210/4) | 450
[47.828, 57.871] | (237/211/4) | 451
[47.938, 57.967] | (238/211/4) | 452
[47.828, 57.846] | (238/212/4) | 453
[47.937, 57.943] | (239/212/4) | 454
[47.827, 57.822] | (239/213/4) | 455
[47.936, 57.918] | (240/213/4) | 456
[48.044, 58.014] | (241/213/4) | 457
[48.152, 58.109] | (242/213/4) | 458
[48.260, 58.203] | (243/213/4) | 459
[48.366, 58.297] | (244/213/4) | 460
[48.257, 58.178] | (244/214/4) | 461
[48.364, 58.271] | (245/214/4) | 462
[48.470, 58.365] | (246/214/4) | 463
[48.361, 58.246] | (246/215/4) | 464
[48.253, 58.128] | (246/216/4) | 465
[48.145, 58.010] | (246/217/4) | 466
[48.250, 58.103] | (247/217/4) | 467
[48.356, 58.195] | (248/217/4) | 468
[48.248, 58.078] | (248/218/4) | 469
[48.353, 58.171] | (249/218/4) | 470
[48.457, 58.262] | (250/218/4) | 471
[48.561, 58.354] | (251/218/4) | 472
[48.665, 58.445] | (252/218/4) | 473
[48.558, 58.329] | (252/219/4) | 474
[48.451, 58.212] | (252/220/4) | 475
[48.345, 58.097] | (252/221/4) | 476
[48.449, 58.188] | (253/221/4) | 477
[48.551, 58.278] | (254/221/4) | 478
[48.446, 58.163] | (254/222/4) | 479
[48.341, 58.048] | (254/223/4) | 480
[48.236, 57.934] | (254/224/4) | 481
[48.132, 57.821] | (254/225/4) | 482
[48.234, 57.911] | (255/225/4) | 483
[48.336, 58.001] | (256/225/4) | 484
[48.437, 58.091] | (257/225/4) | 485
[48.538, 58.180] | (258/225/4) | 486
[48.639, 58.269] | (259/225/4) | 487
[48.739, 58.357] | (260/225/4) | 488
[48.636, 58.244] | (260/226/4) | 489
[48.735, 58.332] | (261/226/4) | 490
[48.835, 58.420] | (262/226/4) | 491
[48.934, 58.508] | (263/226/4) | 492
[49.033, 58.595] | (264/226/4) | 493
[49.131, 58.681] | (265/226/4) | 494
[49.229, 58.768] | (266/226/4) | 495
[49.327, 58.854] | (267/226/4) | 496
[49.424, 58.939] | (268/226/4) | 497
[49.321, 58.827] | (268/227/4) | 498
[49.218, 58.716] | (268/228/4) | 499
[49.115, 58.605] | (268/229/4) | 500
[49.013, 58.494] | (268/230/4) | 501
[49.110, 58.579] | (269/230/4) | 502
[49.207, 58.664] | (270/230/4) | 503
[49.105, 58.554] | (270/231/4) | 504
[49.201, 58.639] | (271/231/4) | 505
[49.297, 58.724] | (272/231/4) | 506
[49.392, 58.808] | (273/231/4) | 507
[49.291, 58.698] | (273/232/4) | 508
[49.386, 58.782] | (274/232/4) | 509
[49.481, 58.866] | (275/232/4) | 510
[49.380, 58.756] | (275/233/4) | 511
[49.475, 58.840] | (276/233/4) | 512
[49.569, 58.923] | (277/233/4) | 513
[49.662, 59.005] | (278/233/4) | 514
[49.756, 59.087] | (279/233/4) | 515
[49.655, 58.979] | (279/234/4) | 516
[49.748, 59.061] | (280/234/4) | 517
[49.841, 59.143] | (281/234/4) | 518
[49.741, 59.035] | (281/235/4) | 519
[49.833, 59.116] | (282/235/4) | 520
[49.925, 59.197] | (283/235/4) | 521
[49.826, 59.090] | (283/236/4) | 522
[49.726, 58.983] | (283/237/4) | 523
[49.628, 58.876] | (283/238/4) | 524
[49.719, 58.957] | (284/238/4) | 525
[49.621, 58.851] | (284/239/4) | 526
[49.523, 58.745] | (284/240/4) | 527
[49.426, 58.639] | (284/241/4) | 528
[49.517, 58.720] | (285/241/4) | 529
[49.608, 58.801] | (286/241/4) | 530
[49.511, 58.695] | (286/242/4) | 531
[49.601, 58.776] | (287/242/4) | 532
[49.692, 58.856] | (288/242/4) | 533
[49.595, 58.751] | (288/243/4) | 534
[49.499, 58.647] | (288/244/4) | 535
[49.402, 58.543] | (288/245/4) | 536
[49.307, 58.440] | (288/246/4) | 537
[49.212, 58.337] | (288/247/4) | 538
[49.117, 58.234] | (288/248/4) | 539
[49.207, 58.314] | (289/248/4) | 540
[49.296, 58.393] | (290/248/4) | 541
[49.202, 58.291] | (290/249/4) | 542
[49.291, 58.370] | (291/249/4) | 543
[49.197, 58.269] | (291/250/4) | 544
[49.286, 58.348] | (292/250/4) | 545
[49.375, 58.427] | (293/250/4) | 546
[49.463, 58.505] | (294/250/4) | 547
[49.370, 58.404] | (294/251/4) | 548
[49.458, 58.482] | (295/251/4) | 549
[49.546, 58.560] | (296/251/4) | 550
[49.633, 58.638] | (297/251/4) | 551
[49.540, 58.537] | (297/252/4) | 552
[49.627, 58.614] | (298/252/4) | 553
[49.714, 58.691] | (299/252/4) | 554
[49.801, 58.768] | (300/252/4) | 555
[49.887, 58.845] | (301/252/4) | 556
[49.973, 58.921] | (302/252/4) | 557
[49.880, 58.821] | (302/253/4) | 558
[49.787, 58.721] | (302/254/4) | 559
[49.695, 58.621] | (302/255/4) | 560
[49.603, 58.522] | (302/256/4) | 561
[49.689, 58.598] | (303/256/4) | 562
[49.774, 58.674] | (304/256/4) | 563
[49.859, 58.750] | (305/256/4) | 564
[49.768, 58.651] | (305/257/4) | 565
[49.853, 58.726] | (306/257/4) | 566
[49.761, 58.628] | (306/258/4) | 567
[49.670, 58.530] | (306/259/4) | 568
[49.755, 58.605] | (307/259/4) | 569
[49.664, 58.507] | (307/260/4) | 570
[49.749, 58.582] | (308/260/4) | 571
[49.658, 58.485] | (308/261/4) | 572
[49.742, 58.560] | (309/261/4) | 573
[49.652, 58.463] | (309/262/4) | 574
[49.563, 58.366] | (309/263/4) | 575
[49.473, 58.270] | (309/264/4) | 576
[49.557, 58.344] | (310/264/4) | 577
[49.641, 58.419] | (311/264/4) | 578
[49.724, 58.493] | (312/264/4) | 579
[49.807, 58.567] | (313/264/4) | 580
[49.718, 58.471] | (313/265/4) | 581
[49.801, 58.545] | (314/265/4) | 582
[49.712, 58.449] | (314/266/4) | 583
[49.623, 58.354] | (314/267/4) | 584
[49.706, 58.427] | (315/267/4) | 585
[49.788, 58.501] | (316/267/4) | 586
[49.700, 58.406] | (316/268/4) | 587
[49.612, 58.311] | (316/269/4) | 588
[49.525, 58.217] | (316/270/4) | 589
