Calculating solvability percentage...
[Lower Bound, Upper Bound] | (Solvable/Unsolvable/Intractable) | Current seed
[83.881, 91.049] | (308/42/1) | 350
[83.925, 91.075] | (309/42/1) | 351
[83.970, 91.101] | (310/42/1) | 352
[84.014, 91.126] | (311/42/1) | 353
[84.058, 91.151] | (312/42/1) | 354
[84.101, 91.177] | (313/42/1) | 355
[84.145, 91.202] | (314/42/1) | 356
[84.188, 91.227] | (315/42/1) | 357
[84.231, 91.252] | (316/42/1) | 358
[83.967, 91.034] | (316/43/1) | 359
[84.010, 91.059] | (317/43/1) | 360
[84.053, 91.084] | (318/43/1) | 361
[84.096, 91.109] | (319/43/1) | 362
[84.138, 91.134] | (320/43/1) | 363
[83.878, 90.919] | (320/44/1) | 364
[83.921, 90.945] | (321/44/1) | 365
[83.964, 90.970] | (322/44/1) | 366
[84.006, 90.995] | (323/44/1) | 367
[83.750, 90.782] | (323/45/1) | 368
[83.793, 90.807] | (324/45/1) | 369
[83.835, 90.833] | (325/45/1) | 370
[83.878, 90.858] | (326/45/1) | 371
[83.920, 90.882] | (327/45/1) | 372
[83.667, 90.673] | (327/46/1) | 373
[83.710, 90.698] | (328/46/1) | 374
[83.460, 90.489] | (328/47/1) | 375
[83.502, 90.515] | (329/47/1) | 376
[83.545, 90.541] | (330/47/1) | 377
[83.587, 90.566] | (331/47/1) | 378
[83.340, 90.359] | (331/48/1) | 379
[83.383, 90.385] | (332/48/1) | 380
[83.425, 90.411] | (333/48/1) | 381
[83.181, 90.206] | (333/49/1) | 382
[83.224, 90.232] | (334/49/1) | 383
[83.266, 90.258] | (335/49/1) | 384
[83.309, 90.283] | (336/49/1) | 385
[83.351, 90.309] | (337/49/1) | 386
[83.393, 90.334] | (338/49/1) | 387
[83.434, 90.359] | (339/49/1) | 388
[83.476, 90.384] | (340/49/1) | 389
[83.517, 90.409] | (341/49/1) | 390
[83.558, 90.434] | (342/49/1) | 391
[83.599, 90.459] | (343/49/1) | 392
[83.639, 90.484] | (344/49/1) | 393
[83.680, 90.508] | (345/49/1) | 394
[83.720, 90.532] | (346/49/1) | 395
[83.760, 90.557] | (347/49/1) | 396
[83.524, 90.359] | (347/50/1) | 397
[83.564, 90.383] | (348/50/1) | 398
[83.604, 90.408] | (349/50/1) | 399
[83.644, 90.432] | (350/50/1) | 400
[83.684, 90.456] | (351/50/1) | 401
[83.724, 90.480] | (352/50/1) | 402
[83.492, 90.286] | (352/51/1) | 403
[83.261, 90.091] | (352/52/1) | 404
[83.032, 89.898] | (352/53/1) | 405
[83.073, 89.923] | (353/53/1) | 406
[82.846, 89.730] | (353/54/1) | 407
[82.887, 89.756] | (354/54/1) | 408
[82.927, 89.781] | (355/54/1) | 409
[82.968, 89.806] | (356/54/1) | 410
[83.008, 89.831] | (357/54/1) | 411
[83.048, 89.856] | (358/54/1) | 412
[82.825, 89.667] | (358/55/1) | 413
[82.865, 89.692] | (359/55/1) | 414
[82.905, 89.717] | (360/55/1) | 415
[82.945, 89.742] | (361/55/1) | 416
[82.985, 89.767] | (362/55/1) | 417
[83.025, 89.792] | (363/55/1) | 418
[83.064, 89.816] | (364/55/1) | 419
