[Lower Bound, Upper Bound] | (Solvable/Unsolvable/Intractable) | Current seed
[79.472, 93.280] | (80/11/0) | 90 (inc timeout & re-eval expected CI: 0.138) (continue same length of time expected CI: 0.000)
[79.681, 93.356] | (81/11/0) | 91 (inc timeout & re-eval expected CI: 0.137) (continue same length of time expected CI: 0.000)
[79.885, 93.430] | (82/11/0) | 92 (inc timeout & re-eval expected CI: 0.135) (continue same length of time expected CI: 0.000)
[80.086, 93.503] | (83/11/0) | 93 (inc timeout & re-eval expected CI: 0.134) (continue same length of time expected CI: 0.000)
[80.282, 93.573] | (84/11/0) | 94 (inc timeout & re-eval expected CI: 0.133) (continue same length of time expected CI: 0.000)
[79.262, 92.852] | (84/12/0) | 95 (inc timeout & re-eval expected CI: 0.136) (continue same length of time expected CI: 0.000)
[79.463, 92.928] | (85/12/0) | 96 (inc timeout & re-eval expected CI: 0.135) (continue same length of time expected CI: 0.000)
[78.481, 93.003] | (85/12/1) | 97 (inc timeout & re-eval expected CI: 0.135) (continue same length of time expected CI: 0.172)  (doubling timeout & re-evaluating intractable seeds)
[0.000, 100.000] | (0/0/1) | 97  (...re-evaluating...)
[78.685, 93.076] | (86/12/1) | 98 (inc timeout & re-eval expected CI: 0.133) (continue same length of time expected CI: 0.129)
[78.884, 93.148] | (87/12/1) | 99 (inc timeout & re-eval expected CI: 0.132) (continue same length of time expected CI: 0.128)
[79.080, 93.218] | (88/12/1) | 100 (inc timeout & re-eval expected CI: 0.131) (continue same length of time expected CI: 0.127)
[79.273, 93.286] | (89/12/1) | 101 (inc timeout & re-eval expected CI: 0.130) (continue same length of time expected CI: 0.125)
[79.462, 93.354] | (90/12/1) | 102 (inc timeout & re-eval expected CI: 0.129) (continue same length of time expected CI: 0.124)
[79.647, 93.420] | (91/12/1) | 103 (inc timeout & re-eval expected CI: 0.128) (continue same length of time expected CI: 0.123)
[79.830, 93.484] | (92/12/1) | 104 (inc timeout & re-eval expected CI: 0.127) (continue same length of time expected CI: 0.122)
[80.009, 93.548] | (93/12/1) | 105 (inc timeout & re-eval expected CI: 0.125) (continue same length of time expected CI: 0.121)
[80.185, 93.610] | (94/12/1) | 106 (inc timeout & re-eval expected CI: 0.124) (continue same length of time expected CI: 0.120)
[80.357, 93.671] | (95/12/1) | 107 (inc timeout & re-eval expected CI: 0.123) (continue same length of time expected CI: 0.119)
[80.527, 93.731] | (96/12/1) | 108 (inc timeout & re-eval expected CI: 0.122) (continue same length of time expected CI: 0.118)
[80.694, 93.790] | (97/12/1) | 109 (inc timeout & re-eval expected CI: 0.121) (continue same length of time expected CI: 0.117)
[80.858, 93.848] | (98/12/1) | 110 (inc timeout & re-eval expected CI: 0.120) (continue same length of time expected CI: 0.116)
[81.019, 93.904] | (99/12/1) | 111 (inc timeout & re-eval expected CI: 0.119) (continue same length of time expected CI: 0.115)
[81.178, 93.960] | (100/12/1) | 112 (inc timeout & re-eval expected CI: 0.118) (continue same length of time expected CI: 0.114)
[81.334, 94.014] | (101/12/1) | 113 (inc timeout & re-eval expected CI: 0.117) (continue same length of time expected CI: 0.114)
[81.487, 94.068] | (102/12/1) | 114 (inc timeout & re-eval expected CI: 0.117) (continue same length of time expected CI: 0.113)
[81.638, 94.121] | (103/12/1) | 115 (inc timeout & re-eval expected CI: 0.116) (continue same length of time expected CI: 0.112)
[81.787, 94.173] | (104/12/1) | 116 (inc timeout & re-eval expected CI: 0.115) (continue same length of time expected CI: 0.111)
[81.933, 94.223] | (105/12/1) | 117 (inc timeout & re-eval expected CI: 0.114) (continue same length of time expected CI: 0.110)
[82.077, 94.273] | (106/12/1) | 118 (inc timeout & re-eval expected CI: 0.113) (continue same length of time expected CI: 0.110)
[82.218, 94.322] | (107/12/1) | 119 (inc timeout & re-eval expected CI: 0.112) (continue same length of time expected CI: 0.109)
[81.396, 94.371] | (107/12/2) | 120 (inc timeout & re-eval expected CI: 0.123) (continue same length of time expected CI: 0.113)
[81.540, 94.418] | (108/12/2) | 121 (inc timeout & re-eval expected CI: 0.122) (continue same length of time expected CI: 0.112)
[81.683, 94.465] | (109/12/2) | 122 (inc timeout & re-eval expected CI: 0.121) (continue same length of time expected CI: 0.111)
[81.823, 94.511] | (110/12/2) | 123 (inc timeout & re-eval expected CI: 0.120) (continue same length of time expected CI: 0.110)
[81.035, 93.945] | (110/13/2) | 124 (inc timeout & re-eval expected CI: 0.122) (continue same length of time expected CI: 0.112)
[81.177, 93.994] | (111/13/2) | 125 (inc timeout & re-eval expected CI: 0.121) (continue same length of time expected CI: 0.111)
[81.318, 94.043] | (112/13/2) | 126 (inc timeout & re-eval expected CI: 0.120) (continue same length of time expected CI: 0.114)
[81.456, 94.091] | (113/13/2) | 127 (inc timeout & re-eval expected CI: 0.119) (continue same length of time expected CI: 0.113)
[81.593, 94.138] | (114/13/2) | 128 (inc timeout & re-eval expected CI: 0.119) (continue same length of time expected CI: 0.112)
[81.727, 94.184] | (115/13/2) | 129 (inc timeout & re-eval expected CI: 0.118) (continue same length of time expected CI: 0.112)
[81.860, 94.230] | (116/13/2) | 130 (inc timeout & re-eval expected CI: 0.117) (continue same length of time expected CI: 0.111)
[81.990, 94.274] | (117/13/2) | 131 (inc timeout & re-eval expected CI: 0.116) (continue same length of time expected CI: 0.110)
[82.119, 94.319] | (118/13/2) | 132 (inc timeout & re-eval expected CI: 0.115) (continue same length of time expected CI: 0.109)
